('16:13:36', '16:14:01', 25.554927825927734)
('16:14:02', '16:14:02', 0.019472122192382812)
('16:14:02', '16:14:02', 0.015421152114868164)
('16:14:02', '16:14:02', 0.01534414291381836)
('16:14:02', '16:14:02', 0.015748977661132812)
('16:14:02', '16:14:02', 0.015491962432861328)
('16:14:02', '16:14:02', 0.015446186065673828)
('16:14:02', '16:14:02', 0.015306949615478516)
('16:14:02', '16:14:02', 0.015946149826049805)
('16:14:02', '16:14:02', 0.015953779220581055)
('16:14:02', '16:14:02', 0.015478134155273438)
('16:14:02', '16:14:02', 0.01602315902709961)
('16:14:02', '16:14:02', 0.015436887741088867)
('16:14:02', '16:14:02', 0.01538395881652832)
('16:14:02', '16:14:02', 0.015491962432861328)
('16:14:02', '16:14:02', 0.015374183654785156)
('16:14:02', '16:14:02', 0.015377044677734375)
('16:14:02', '16:14:02', 0.01592707633972168)
('16:14:02', '16:14:02', 0.01536703109741211)
('16:14:02', '16:14:02', 0.01595306396484375)
('16:14:02', '16:14:02', 0.015356063842773438)
('16:14:02', '16:14:02', 0.01593494415283203)
('16:14:02', '16:14:02', 0.015937089920043945)
('16:14:02', '16:14:02', 0.015496969223022461)
('16:14:02', '16:14:02', 0.0159609317779541)
('16:14:02', '16:14:02', 0.015838146209716797)
('16:14:02', '16:14:02', 0.015484809875488281)
('16:14:02', '16:14:02', 0.01590704917907715)
('16:14:02', '16:14:02', 0.015897035598754883)
('16:14:02', '16:14:02', 0.015429973602294922)
('16:14:02', '16:14:02', 0.015446901321411133)
('16:14:02', '16:14:02', 0.015455007553100586)
('16:14:02', '16:14:02', 0.015430927276611328)
('16:14:02', '16:14:02', 0.015438079833984375)
('16:14:02', '16:14:02', 0.031073808670043945)
('16:14:02', '16:14:02', 0.031452178955078125)
('16:14:02', '16:14:02', 0.01541900634765625)
('16:14:02', '16:14:02', 0.015408992767333984)
('16:14:02', '16:14:03', 0.015974998474121094)
('16:14:03', '16:14:03', 0.015377044677734375)
('16:14:03', '16:14:03', 0.01593494415283203)
('16:14:03', '16:14:03', 0.015383005142211914)
('16:14:03', '16:14:03', 0.015951871871948242)
('16:14:03', '16:14:03', 0.015939950942993164)
('16:14:03', '16:14:03', 0.015423059463500977)
('16:14:03', '16:14:03', 0.01593804359436035)
('16:14:03', '16:14:03', 0.015423059463500977)
('16:14:03', '16:14:03', 0.010981082916259766)
('16:14:03', '16:14:03', 0.015933990478515625)
('16:14:03', '16:14:03', 0.015465974807739258)
('16:14:03', '16:14:03', 0.015455961227416992)
('16:14:03', '16:14:03', 0.015939950942993164)
('16:14:03', '16:14:03', 0.015422821044921875)
('16:14:03', '16:14:03', 0.015433073043823242)
('16:14:03', '16:14:03', 0.015401840209960938)
('16:14:03', '16:14:03', 0.015438079833984375)
('16:14:03', '16:14:03', 0.015906095504760742)
('16:14:03', '16:14:03', 0.01885700225830078)
('16:14:03', '16:14:03', 0.019371986389160156)
('16:14:03', '16:14:03', 0.015924930572509766)
('16:14:03', '16:14:03', 0.0)
('16:14:03', '16:14:03', 0.018867969512939453)
('16:14:03', '16:14:03', 0.015463113784790039)
('16:14:03', '16:14:03', 0.01541900634765625)
('16:14:03', '16:14:03', 0.01587700843811035)
('16:14:03', '16:14:03', 0.015954971313476562)
('16:14:03', '16:14:03', 0.015475034713745117)
('16:14:03', '16:14:03', 0.0159759521484375)
('16:14:03', '16:14:03', 0.015469074249267578)
('16:14:03', '16:14:03', 0.015449047088623047)
('16:14:03', '16:14:03', 0.01594090461730957)
('16:14:03', '16:14:03', 0.015434026718139648)
('16:14:03', '16:14:03', 0.03130483627319336)
('16:14:03', '16:14:03', 0.01595306396484375)
('16:14:03', '16:14:03', 0.015522956848144531)
('16:14:03', '16:14:03', 0.03151106834411621)
('16:14:03', '16:14:03', 0.015987873077392578)
('16:14:03', '16:14:04', 0.030820131301879883)
('16:14:04', '16:14:04', 0.015487909317016602)
('16:14:04', '16:14:04', 0.015990018844604492)
('16:14:04', '16:14:04', 0.015342950820922852)
('16:14:04', '16:14:04', 0.015967130661010742)
('16:14:04', '16:14:04', 0.015374183654785156)
('16:14:04', '16:14:04', 0.015398979187011719)
('16:14:04', '16:14:04', 0.0158998966217041)
('16:14:04', '16:14:04', 0.01536417007446289)
('16:14:04', '16:14:04', 0.01594686508178711)
('16:14:04', '16:14:04', 0.01493692398071289)
('16:14:04', '16:14:04', 0.015422821044921875)
('16:14:04', '16:14:04', 0.01586318016052246)
('16:14:04', '16:14:04', 0.015306949615478516)
('16:14:04', '16:14:04', 0.01591205596923828)
('16:14:04', '16:14:04', 0.01589798927307129)
('16:14:04', '16:14:04', 0.015394926071166992)
('16:14:04', '16:14:04', 0.015434026718139648)
('16:14:04', '16:14:04', 0.015824079513549805)
('16:14:04', '16:14:04', 0.015870094299316406)
('16:14:04', '16:14:04', 0.015474081039428711)
('16:14:04', '16:14:04', 0.015372991561889648)
('16:14:04', '16:14:04', 0.0157928466796875)
('16:14:04', '16:14:04', 0.015443086624145508)
('16:14:04', '16:14:04', 0.015376091003417969)
('16:14:04', '16:14:04', 0.015623807907104492)
('16:14:04', '16:14:04', 0.01538991928100586)
('16:14:04', '16:14:04', 0.015781879425048828)
('16:14:04', '16:14:04', 0.015938997268676758)
('16:14:04', '16:14:04', 0.01589488983154297)
('16:14:04', '16:14:04', 0.015382051467895508)
('16:14:04', '16:14:04', 0.015448808670043945)
('16:14:04', '16:14:04', 0.015376091003417969)
('16:14:04', '16:14:04', 0.015367984771728516)
('16:14:04', '16:14:04', 0.015365123748779297)
('16:14:04', '16:14:04', 0.015875816345214844)
('16:14:04', '16:14:04', 0.015919923782348633)
('16:14:04', '16:14:04', 0.01547098159790039)
('16:14:04', '16:14:04', 0.0159912109375)
('16:14:04', '16:14:04', 0.015395879745483398)
('16:14:05', '16:14:05', 0.015446186065673828)
('16:14:05', '16:14:05', 0.015902996063232422)
('16:14:05', '16:14:05', 0.015380144119262695)
('16:14:05', '16:14:05', 0.015924930572509766)
('16:14:05', '16:14:05', 0.015384912490844727)
('16:14:05', '16:14:05', 0.01597905158996582)
('16:14:05', '16:14:05', 0.015909910202026367)
('16:14:05', '16:14:05', 0.015459060668945312)
('16:14:05', '16:14:05', 0.01590704917907715)
('16:14:05', '16:14:05', 0.015463113784790039)
('16:14:05', '16:14:05', 0.015923023223876953)
('16:14:05', '16:14:05', 0.015486001968383789)
('16:14:05', '16:14:05', 0.015440940856933594)
('16:14:05', '16:14:05', 0.015475034713745117)
('16:14:05', '16:14:05', 0.015917062759399414)
('16:14:05', '16:14:05', 0.015440940856933594)
('16:14:05', '16:14:05', 0.015367984771728516)
('16:14:05', '16:14:05', 0.015380859375)
('16:14:05', '16:14:05', 0.01540994644165039)
('16:14:05', '16:14:05', 0.015997886657714844)
('16:14:05', '16:14:05', 0.022792816162109375)
('16:14:05', '16:14:05', 0.01782512664794922)
('16:14:05', '16:14:05', 0.01687002182006836)
('16:14:05', '16:14:05', 0.023174047470092773)
('16:14:05', '16:14:05', 0.01540684700012207)
('16:14:05', '16:14:05', 0.015382051467895508)
('16:14:05', '16:14:05', 0.015674829483032227)
('16:14:05', '16:14:05', 0.015360116958618164)
('16:14:05', '16:14:05', 0.016150951385498047)
('16:14:05', '16:14:05', 0.015414953231811523)
('16:14:05', '16:14:05', 0.015362024307250977)
('16:14:05', '16:14:05', 0.0)
('16:14:05', '16:14:05', 0.015887975692749023)
('16:14:05', '16:14:05', 0.01548004150390625)
('16:14:05', '16:14:05', 0.015427827835083008)
('16:14:05', '16:14:05', 0.01542210578918457)
