('16:13:42', '16:14:27', 45.024298906326294)
('16:14:27', '16:14:27', 0.014925003051757812)
('16:14:27', '16:14:27', 0.03141212463378906)
('16:14:28', '16:14:28', 0.015919923782348633)
('16:14:28', '16:14:28', 0.031417131423950195)
('16:14:28', '16:14:28', 0.01518702507019043)
('16:14:28', '16:14:28', 0.018750905990600586)
('16:14:28', '16:14:28', 0.014904022216796875)
('16:14:28', '16:14:28', 0.016049861907958984)
('16:14:28', '16:14:28', 0.015928030014038086)
('16:14:28', '16:14:28', 0.031491994857788086)
('16:14:28', '16:14:28', 0.03164792060852051)
('16:14:28', '16:14:28', 0.031381845474243164)
('16:14:28', '16:14:28', 0.015809059143066406)
('16:14:28', '16:14:28', 0.01547098159790039)
('16:14:28', '16:14:28', 0.03086709976196289)
('16:14:28', '16:14:28', 0.0309600830078125)
('16:14:28', '16:14:28', 0.015408039093017578)
('16:14:28', '16:14:28', 0.030373096466064453)
('16:14:29', '16:14:29', 0.03097081184387207)
('16:14:29', '16:14:29', 0.031127214431762695)
('16:14:29', '16:14:29', 0.038700103759765625)
('16:14:29', '16:14:29', 0.031449079513549805)
('16:14:29', '16:14:29', 0.01614212989807129)
('16:14:29', '16:14:29', 0.030941009521484375)
('16:14:29', '16:14:29', 0.01609206199645996)
('16:14:29', '16:14:29', 0.03147292137145996)
('16:14:29', '16:14:29', 0.015429973602294922)
('16:14:29', '16:14:29', 0.03154706954956055)
('16:14:29', '16:14:29', 0.015825986862182617)
('16:14:29', '16:14:29', 0.015447139739990234)
('16:14:29', '16:14:29', 0.015945911407470703)
('16:14:29', '16:14:29', 0.015429973602294922)
('16:14:29', '16:14:29', 0.03168487548828125)
('16:14:29', '16:14:29', 0.030903100967407227)
('16:14:29', '16:14:29', 0.01553201675415039)
('16:14:29', '16:14:30', 0.031013011932373047)
('16:14:30', '16:14:30', 0.0314481258392334)
('16:14:30', '16:14:30', 0.01546478271484375)
('16:14:30', '16:14:30', 0.029528141021728516)
('16:14:30', '16:14:30', 0.015465021133422852)
('16:14:30', '16:14:30', 0.031733036041259766)
('16:14:30', '16:14:30', 0.030871868133544922)
('16:14:30', '16:14:30', 0.015388011932373047)
('16:14:30', '16:14:30', 0.033451080322265625)
('16:14:30', '16:14:30', 0.015935897827148438)
('16:14:30', '16:14:30', 0.015434980392456055)
('16:14:30', '16:14:30', 0.015896081924438477)
('16:14:30', '16:14:30', 0.030843019485473633)
('16:14:30', '16:14:30', 0.015478849411010742)
('16:14:30', '16:14:30', 0.015411853790283203)
('16:14:30', '16:14:30', 0.029443979263305664)
('16:14:30', '16:14:30', 0.030369997024536133)
('16:14:30', '16:14:30', 0.03165602684020996)
('16:14:31', '16:14:31', 0.03139305114746094)
('16:14:31', '16:14:31', 0.014958858489990234)
('16:14:31', '16:14:31', 0.015458106994628906)
('16:14:31', '16:14:31', 0.01534891128540039)
('16:14:31', '16:14:31', 0.015494823455810547)
('16:14:31', '16:14:31', 0.015381097793579102)
('16:14:31', '16:14:31', 0.01548314094543457)
('16:14:31', '16:14:31', 0.030364036560058594)
('16:14:31', '16:14:31', 0.031523942947387695)
('16:14:31', '16:14:31', 0.04654693603515625)
('16:14:31', '16:14:31', 0.031540870666503906)
('16:14:31', '16:14:31', 0.015942811965942383)
('16:14:31', '16:14:31', 0.016288042068481445)
('16:14:31', '16:14:31', 0.01541280746459961)
('16:14:31', '16:14:31', 0.01608109474182129)
('16:14:31', '16:14:31', 0.030937910079956055)
('16:14:32', '16:14:32', 0.030881881713867188)
('16:14:32', '16:14:32', 0.07864594459533691)
('16:14:32', '16:14:32', 0.016955852508544922)
('16:14:32', '16:14:32', 0.04640007019042969)
('16:14:32', '16:14:32', 0.015461206436157227)
('16:14:32', '16:14:32', 0.031561851501464844)
('16:14:32', '16:14:32', 0.030957937240600586)
('16:14:32', '16:14:32', 0.04713106155395508)
('16:14:32', '16:14:32', 0.030811071395874023)
('16:14:32', '16:14:32', 0.014974117279052734)
('16:14:32', '16:14:32', 0.031230926513671875)
('16:14:32', '16:14:32', 0.04665398597717285)
('16:14:32', '16:14:32', 0.061879873275756836)
('16:14:32', '16:14:32', 0.03147101402282715)
('16:14:33', '16:14:33', 0.03148007392883301)
('16:14:33', '16:14:33', 0.0307619571685791)
('16:14:33', '16:14:33', 0.030928850173950195)
('16:14:33', '16:14:33', 0.031190872192382812)
('16:14:33', '16:14:33', 0.030714035034179688)
('16:14:33', '16:14:33', 0.06253600120544434)
('16:14:33', '16:14:33', 0.031137943267822266)
('16:14:33', '16:14:33', 0.030917882919311523)
('16:14:33', '16:14:33', 0.015439033508300781)
('16:14:33', '16:14:33', 0.031250953674316406)
('16:14:33', '16:14:33', 0.031003952026367188)
('16:14:33', '16:14:33', 0.0316929817199707)
('16:14:33', '16:14:33', 0.015472173690795898)
('16:14:33', '16:14:33', 0.03133797645568848)
('16:14:33', '16:14:33', 0.03137707710266113)
('16:14:33', '16:14:33', 0.01596808433532715)
('16:14:34', '16:14:34', 0.04657888412475586)
('16:14:34', '16:14:34', 0.0470120906829834)
('16:14:34', '16:14:34', 0.031164884567260742)
('16:14:34', '16:14:34', 0.031445980072021484)
('16:14:34', '16:14:34', 0.01546478271484375)
('16:14:34', '16:14:34', 0.014986038208007812)
('16:14:34', '16:14:34', 0.015889883041381836)
('16:14:34', '16:14:34', 0.030568838119506836)
('16:14:34', '16:14:34', 0.015396833419799805)
